10000,1,5107.921922,5107.921956
10000,2,5107.921967,5107.922132
10000,4,5107.922136,5107.922267
10000,8,5107.922271,5107.922473
100000,1,5107.950373,5107.950732
100000,2,5107.950740,5107.951311
100000,4,5107.951315,5107.951945
100000,8,5107.951949,5107.952362
100000,1,5107.995679,5107.996129
100000,2,5107.996138,5107.996641
100000,4,5107.996645,5107.998851
100000,8,5107.998857,5107.999357
10000000,1,5110.676630,5110.711687
10000000,2,5110.711697,5110.737333
10000000,4,5110.737341,5110.763514
10000000,8,5110.763523,5110.786420
